Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
BME280 Test Alta Velocità
Sensore non trovato a 0x76! Provo 0x77...
ERRORE: Sensore non trovato. Controlla i cavi.
317173 ,    280.66 K ,    88.1 % ,    96.121 kPa
318180 ,    280.63 K ,    88.2 % ,    96.120 kPa
319185 ,    280.62 K ,    88.3 % ,    96.125 kPa
320192 ,    280.61 K ,    88.3 % ,    96.121 kPa
321199 ,    280.61 K ,    88.4 % ,    96.120 kPa
322205 ,    280.62 K ,    88.5 % ,    96.121 kPa
323212 ,    280.64 K ,    88.6 % ,    96.121 kPa
324218 ,    280.65 K ,    88.6 % ,    96.123 kPa
325225 ,    280.66 K ,    88.6 % ,    96.121 kPa
326232 ,    280.68 K ,    88.7 % ,    96.120 kPa
327237 ,    280.67 K ,    88.8 % ,    96.119 kPa
328244 ,    280.69 K ,    88.8 % ,    96.120 kPa
329250 ,    280.70 K ,    88.7 % ,    96.124 kPa
330257 ,    280.73 K ,    88.9 % ,    96.121 kPa
331264 ,    280.76 K ,    88.9 % ,    96.120 kPa
332270 ,    280.76 K ,    88.9 % ,    96.116 kPa
333277 ,    280.77 K ,    89.0 % ,    96.121 kPa
334282 ,    280.77 K ,    89.0 % ,    96.119 kPa
335289 ,    280.79 K ,    89.1 % ,    96.119 kPa
336295 ,    280.81 K ,    89.1 % ,    96.115 kPa
337302 ,    280.81 K ,    89.1 % ,    96.112 kPa
338309 ,    280.82 K ,    89.2 % ,    96.117 kPa
339315 ,    280.82 K ,    88.6 % ,    96.118 kPa
340322 ,    280.82 K ,    89.3 % ,    96.118 kPa
341327 ,    280.85 K ,    89.3 % ,    96.117 kPa
342334 ,    280.82 K ,    89.4 % ,    96.118 kPa
343341 ,    280.81 K ,    89.4 % ,    96.119 kPa
344347 ,    280.80 K ,    89.5 % ,    96.114 kPa
345354 ,    280.79 K ,    89.5 % ,    96.119 kPa
346360 ,    280.80 K ,    89.6 % ,    96.119 kPa
347367 ,    280.80 K ,    89.7 % ,    96.121 kPa
